room_type,accommodates,neighbourhood_cleansed,bedrooms,beds,price
Entire home/apt,6.0,Jacarepaguá,2.0,3.0,386.0
Private room,1.0,Barra da Tijuca,4.0,4.0,120.0
Entire home/apt,6.0,Lagoa,2.0,5.0,500.0
Entire home/apt,5.0,Copacabana,1.0,3.0,500.0
Entire home/apt,5.0,Jacarepaguá,2.0,3.0,360.0
Entire home/apt,2.0,Copacabana,1.0,1.0,519.0
Private room,3.0,Ipanema,1.0,2.0,214.0
Entire home/apt,8.0,Laranjeiras,3.0,6.0,1277.0
Entire home/apt,6.0,Recreio dos Bandeirantes,3.0,4.0,700.0
Entire home/apt,4.0,Copacabana,1.0,2.0,180.0
Entire home/apt,5.0,Copacabana,3.0,4.0,1679.0
Entire home/apt,4.0,Leblon,1.0,2.0,343.0
Entire home/apt,6.0,Botafogo,4.0,4.0,2383.0
Entire home/apt,6.0,Recreio dos Bandeirantes,2.0,4.0,750.0
Entire home/apt,6.0,Ipanema,3.0,3.0,1571.0
Entire home/apt,4.0,Lagoa,2.0,3.0,1000.0
Entire home/apt,4.0,Barra da Tijuca,2.0,2.0,977.0
Entire home/apt,4.0,Ipanema,1.0,2.0,1013.0
Entire home/apt,2.0,Jardim Botânico,1.0,1.0,312.0
Private room,2.0,Botafogo,1.0,1.0,642.0
Entire home/apt,2.0,Flamengo,1.0,1.0,450.0
Entire home/apt,10.0,Botafogo,5.0,6.0,800.0
Entire home/apt,4.0,Copacabana,1.0,1.0,454.0
Entire home/apt,3.0,Barra da Tijuca,1.0,1.0,195.0
Entire home/apt,8.0,Copacabana,3.0,5.0,893.0
Entire home/apt,2.0,Copacabana,1.0,1.0,854.0
Private room,2.0,Laranjeiras,1.0,1.0,83.0
Entire home/apt,6.0,Recreio dos Bandeirantes,2.0,6.0,421.0
Entire home/apt,4.0,Copacabana,1.0,3.0,200.0
Entire home/apt,7.0,Copacabana,2.0,3.0,1600.0
Private room,2.0,Copacabana,1.0,1.0,120.0
Entire home/apt,9.0,Copacabana,4.0,7.0,2000.0
Private room,2.0,Copacabana,1.0,2.0,293.0
Entire home/apt,2.0,Barra da Tijuca,1.0,1.0,450.0
Entire home/apt,3.0,Copacabana,1.0,3.0,225.0
Entire home/apt,3.0,Ipanema,2.0,2.0,936.0
Entire home/apt,6.0,Copacabana,2.0,5.0,1081.0
Private room,2.0,Vila da Penha,1.0,1.0,125.0
Shared room,3.0,Santa Teresa,1.0,1.0,150.0
Entire home/apt,6.0,Leme,3.0,3.0,400.0
Entire home/apt,2.0,Gávea,1.0,1.0,300.0
Entire home/apt,4.0,Copacabana,1.0,2.0,250.0
Entire home/apt,8.0,Jacarepaguá,2.0,3.0,250.0
Entire home/apt,3.0,Copacabana,1.0,2.0,1487.0
Entire home/apt,2.0,Copacabana,1.0,1.0,454.0
Entire home/apt,4.0,Copacabana,2.0,3.0,526.0
Entire home/apt,5.0,Barra da Tijuca,2.0,4.0,1135.0
Entire home/apt,4.0,Copacabana,1.0,1.0,500.0
Entire home/apt,10.0,Copacabana,3.0,6.0,1036.0
Private room,3.0,Leme,1.0,3.0,279.0
Entire home/apt,5.0,Ipanema,2.0,3.0,771.0
Entire home/apt,2.0,Copacabana,1.0,3.0,296.0
Entire home/apt,6.0,Botafogo,2.0,3.0,500.0
Entire home/apt,6.0,Barra da Tijuca,1.0,3.0,909.0
Entire home/apt,4.0,Jacarepaguá,1.0,2.0,236.0
Entire home/apt,4.0,Ipanema,2.0,2.0,1267.0
Entire home/apt,3.0,Copacabana,1.0,2.0,416.0
Entire home/apt,3.0,Lagoa,2.0,2.0,936.0
Entire home/apt,8.0,Copacabana,3.0,8.0,1909.0
Entire home/apt,2.0,Vidigal,1.0,1.0,206.0
Entire home/apt,5.0,Leme,2.0,4.0,621.0
Entire home/apt,7.0,Copacabana,2.0,2.0,264.0
Private room,2.0,Copacabana,1.0,1.0,150.0
Entire home/apt,6.0,Copacabana,2.0,4.0,1970.0
Entire home/apt,4.0,Barra da Tijuca,1.0,2.0,467.0
Entire home/apt,4.0,Barra da Tijuca,1.0,1.0,190.0
Entire home/apt,4.0,Ipanema,2.0,2.0,2055.0
Private room,2.0,Praça da Bandeira,1.0,2.0,60.0
Private room,1.0,Barra da Tijuca,1.0,1.0,200.0
Entire home/apt,6.0,Leblon,2.0,4.0,1398.0
Entire home/apt,4.0,Copacabana,1.0,2.0,886.0
Entire home/apt,6.0,Copacabana,1.0,3.0,543.0
Entire home/apt,4.0,Leblon,1.0,1.0,897.0
Entire home/apt,4.0,Ipanema,2.0,4.0,270.0
Entire home/apt,3.0,Barra da Tijuca,1.0,2.0,916.0
Entire home/apt,5.0,Ipanema,2.0,4.0,1277.0
Entire home/apt,4.0,Copacabana,1.0,2.0,761.0
Entire home/apt,8.0,Copacabana,3.0,8.0,1357.0
Entire home/apt,3.0,Copacabana,1.0,1.0,820.0
Entire home/apt,5.0,Copacabana,1.0,3.0,667.0
Entire home/apt,2.0,Realengo,1.0,2.0,200.0
Entire home/apt,4.0,Copacabana,2.0,3.0,773.0
Entire home/apt,4.0,Copacabana,2.0,3.0,357.0
Entire home/apt,6.0,Ipanema,2.0,3.0,864.0
Entire home/apt,8.0,Copacabana,3.0,5.0,966.0
Entire home/apt,4.0,Barra da Tijuca,1.0,3.0,450.0
Entire home/apt,2.0,Jacarepaguá,1.0,2.0,212.0
Entire home/apt,6.0,Barra da Tijuca,2.0,5.0,1929.0
Private room,2.0,Santa Teresa,1.0,1.0,246.0
Entire home/apt,4.0,Ipanema,1.0,2.0,584.0
Entire home/apt,8.0,Copacabana,2.0,6.0,386.0
Entire home/apt,6.0,Copacabana,2.0,5.0,756.0
Entire home/apt,6.0,Taquara,2.0,4.0,317.0
Entire home/apt,6.0,São Conrado,3.0,6.0,341.0
Entire home/apt,5.0,Ipanema,2.0,4.0,1750.0
Entire home/apt,4.0,Centro,1.0,1.0,484.0
Private room,1.0,Botafogo,1.0,1.0,70.0
Entire home/apt,3.0,Barra da Tijuca,1.0,1.0,350.0
Entire home/apt,10.0,Urca,6.0,8.0,2264.0
Entire home/apt,3.0,Copacabana,1.0,2.0,121.0
Entire home/apt,4.0,Leblon,2.0,2.0,369.0
Entire home/apt,6.0,Santa Teresa,3.0,3.0,1355.0
Entire home/apt,4.0,Recreio dos Bandeirantes,2.0,3.0,537.0
Private room,2.0,Jardim Botânico,2.0,1.0,65.0
Entire home/apt,5.0,Copacabana,1.0,3.0,600.0
Entire home/apt,8.0,Barra da Tijuca,2.0,8.0,420.0
Private room,1.0,Cosmos,1.0,4.0,83.0
Entire home/apt,6.0,Copacabana,3.0,3.0,757.0
Entire home/apt,3.0,Copacabana,1.0,1.0,535.0
Entire home/apt,2.0,Joá,1.0,1.0,200.0
Entire home/apt,2.0,Santa Teresa,1.0,1.0,99.0
Entire home/apt,2.0,Santa Teresa,1.0,1.0,380.0
Entire home/apt,5.0,Recreio dos Bandeirantes,3.0,3.0,493.0
Entire home/apt,4.0,Ipanema,2.0,3.0,571.0
Entire home/apt,4.0,Ipanema,2.0,2.0,1143.0
Entire home/apt,3.0,Barra da Tijuca,1.0,2.0,257.0
Entire home/apt,8.0,Leblon,3.0,6.0,2276.0
Entire home/apt,6.0,Ipanema,3.0,5.0,2400.0
Entire home/apt,6.0,Recreio dos Bandeirantes,2.0,3.0,900.0
Entire home/apt,10.0,Recreio dos Bandeirantes,3.0,8.0,995.0
Entire home/apt,6.0,Copacabana,2.0,4.0,643.0
Entire home/apt,5.0,Copacabana,1.0,4.0,462.0
Entire home/apt,8.0,Barra da Tijuca,1.0,3.0,565.0
Entire home/apt,5.0,Copacabana,2.0,3.0,1285.0
Entire home/apt,4.0,Copacabana,2.0,3.0,600.0
Entire home/apt,4.0,Leblon,2.0,2.0,475.0
Private room,3.0,Marechal Hermes,1.0,3.0,284.0
Private room,2.0,Copacabana,1.0,1.0,258.0
Entire home/apt,4.0,Ipanema,2.0,3.0,1100.0
Entire home/apt,2.0,Catete,1.0,1.0,300.0
Entire home/apt,4.0,Copacabana,1.0,2.0,466.0
Entire home/apt,4.0,Flamengo,2.0,2.0,600.0
Shared room,2.0,Barra da Tijuca,1.0,1.0,539.0
Entire home/apt,8.0,Lins de Vasconcelos,2.0,8.0,607.0
Entire home/apt,10.0,Copacabana,1.0,10.0,800.0
Shared room,4.0,Santa Teresa,1.0,6.0,77.0
Entire home/apt,4.0,Rio Comprido,1.0,2.0,246.0
Entire home/apt,5.0,Leblon,2.0,2.0,1114.0
Entire home/apt,5.0,Glória,3.0,5.0,843.0
Entire home/apt,3.0,Leblon,1.0,2.0,623.0
Entire home/apt,4.0,Copacabana,1.0,2.0,289.0
Entire home/apt,3.0,Botafogo,1.0,1.0,851.0
Entire home/apt,4.0,Ipanema,2.0,3.0,1097.0
Entire home/apt,4.0,Copacabana,1.0,1.0,180.0
Entire home/apt,10.0,Leblon,4.0,8.0,1500.0
Entire home/apt,6.0,Vargem Grande,3.0,11.0,864.0
Entire home/apt,3.0,Barra da Tijuca,1.0,1.0,350.0
Entire home/apt,4.0,Leblon,1.0,2.0,589.0
Entire home/apt,8.0,Copacabana,3.0,4.0,781.0
Private room,2.0,Vargem Pequena,1.0,2.0,190.0
Entire home/apt,2.0,Recreio dos Bandeirantes,2.0,2.0,590.0
Entire home/apt,4.0,Copacabana,1.0,3.0,571.0
Entire home/apt,5.0,Botafogo,2.0,2.0,493.0
Entire home/apt,3.0,Copacabana,1.0,1.0,130.0
Entire home/apt,4.0,Ipanema,2.0,2.0,938.0
Entire home/apt,2.0,Ipanema,1.0,1.0,600.0
Private room,2.0,Botafogo,1.0,1.0,800.0
Entire home/apt,4.0,Jardim Botânico,2.0,2.0,450.0
Entire home/apt,4.0,Leblon,2.0,3.0,760.0
Entire home/apt,5.0,Copacabana,1.0,4.0,801.0
Private room,2.0,Laranjeiras,3.0,2.0,252.0
Private room,5.0,Santa Teresa,1.0,3.0,150.0
Entire home/apt,2.0,Centro,1.0,1.0,102.0
Entire home/apt,2.0,Flamengo,1.0,1.0,591.0
Entire home/apt,3.0,Gávea,1.0,2.0,250.0
